Heel_X,Heel_Y,Heel_Z,TOE_X,TOE_Y,TOY_Z,"sqrt(heel x, y, z)","sqrt(toe x, y, z)",PD_or_Non
-0.062322,0.093378,1.375,-0.062501,-0.031384,1.3437,1.3795,1.3456,0
-0.062327,0.096344,1.3749,-0.062501,-0.031555,1.3437,1.3797,1.3456,0
-0.062388,0.099424,1.3749,-0.062501,-0.031795,1.3437,1.3799,1.3456,0
-0.062511,0.1025,1.3749,-0.0625,-0.032211,1.3437,1.3801,1.3456,0
-0.062688,0.10538,1.3749,-0.062498,-0.032853,1.3437,1.3804,1.3456,0
-0.062887,0.1078,1.375,-0.062497,-0.033704,1.3437,1.3806,1.3456,0
-0.063058,0.10954,1.3751,-0.062496,-0.034682,1.3438,1.3809,1.3456,0
-0.063133,0.11045,1.3752,-0.062495,-0.035668,1.3438,1.3811,1.3457,0
-0.063039,0.11053,1.3753,-0.062496,-0.03655,1.3438,1.3812,1.3457,0
-0.062718,0.10997,1.3754,-0.062499,-0.037255,1.3438,1.3812,1.3457,0
-0.062143,0.10903,1.3754,-0.062503,-0.037764,1.3438,1.3811,1.3457,0
-0.061342,0.1081,1.3753,-0.062508,-0.038097,1.3438,1.3809,1.3457,0
-0.060401,0.10753,1.375,-0.062513,-0.038292,1.3438,1.3805,1.3457,0
-0.05946,0.10763,1.3746,-0.062516,-0.038377,1.3437,1.3801,1.3457,0
-0.058685,0.10856,1.3742,-0.062516,-0.038361,1.3437,1.3797,1.3457,0
-0.058222,0.11033,1.3738,-0.062511,-0.03823,1.3437,1.3795,1.3457,0
-0.058143,0.1128,1.3737,-0.0625,-0.037947,1.3437,1.3795,1.3457,0
-0.05841,0.11568,1.3738,-0.062485,-0.037465,1.3437,1.3799,1.3457,0
-0.058875,0.11864,1.3745,-0.062468,-0.036748,1.3437,1.3808,1.3457,0
-0.059315,0.12131,1.3756,-0.062452,-0.035802,1.3438,1.3822,1.3457,0
-0.059506,0.1234,1.3771,-0.062444,-0.034694,1.3438,1.3839,1.3457,0
-0.059294,0.12473,1.3788,-0.062449,-0.033543,1.3438,1.3857,1.3456,0
-0.058632,0.12524,1.3803,-0.062472,-0.032492,1.3438,1.3872,1.3456,0
-0.057583,0.12508,1.3811,-0.062513,-0.031668,1.3438,1.3879,1.3456,0
-0.056279,0.1245,1.3807,-0.06257,-0.031153,1.3438,1.3874,1.3456,0
-0.054848,0.12389,1.3789,-0.062631,-0.030964,1.3438,1.3855,1.3456,0
-0.053352,0.12365,1.3754,-0.062679,-0.031053,1.3437,1.382,1.3456,0
-0.051769,0.12418,1.3705,-0.062694,-0.031314,1.3437,1.3771,1.3455,0
-0.050029,0.12578,1.3646,-0.062657,-0.031605,1.3437,1.3713,1.3455,0
-0.048094,0.12855,1.3584,-0.062555,-0.031774,1.3436,1.3653,1.3455,0
-0.046021,0.13244,1.3524,-0.062389,-0.031686,1.3436,1.3597,1.3454,0
-0.04398,0.13716,1.3473,-0.062181,-0.031254,1.3437,1.355,1.3455,0
-0.042186,0.14231,1.3434,-0.061975,-0.030463,1.3437,1.3516,1.3455,0
-0.040806,0.14739,1.341,-0.061837,-0.029385,1.3438,1.3496,1.3456,0
-0.039876,0.15198,1.3399,-0.06184,-0.028176,1.344,1.349,1.3457,0
-0.039272,0.15575,1.3401,-0.062055,-0.027051,1.3441,1.3497,1.3458,0
-0.038774,0.1585,1.3416,-0.062523,-0.026239,1.3442,1.3515,1.3459,0
-0.038163,0.16014,1.3443,-0.063236,-0.025923,1.3442,1.3544,1.3459,0
-0.037337,0.16067,1.348,-0.064122,-0.026188,1.344,1.3581,1.3458,0
-0.036373,0.1601,1.3526,-0.065043,-0.026993,1.3437,1.3625,1.3456,0
-0.035511,0.15842,1.3576,-0.065819,-0.028188,1.3433,1.3673,1.3452,0
-0.035071,0.15568,1.3626,-0.066268,-0.029551,1.3428,1.372,1.3448,0
-0.035332,0.15197,1.3673,-0.066275,-0.030839,1.3424,1.3762,1.3444,0
-0.036412,0.14747,1.3712,-0.065852,-0.031837,1.3422,1.3796,1.3442,0
-0.038206,0.14249,1.3741,-0.065182,-0.032385,1.3425,1.382,1.3445,0
-0.040389,0.13745,1.376,-0.064608,-0.032397,1.3433,1.3834,1.3452,0
-0.042494,0.13277,1.3768,-0.064562,-0.031868,1.3447,1.3839,1.3467,0
-0.044037,0.12884,1.3769,-0.065451,-0.030877,1.3467,1.3836,1.3487,0
-0.044664,0.1259,1.3765,-0.067539,-0.029577,1.3491,1.383,1.3511,0
-0.044249,0.12404,1.3759,-0.070852,-0.028185,1.3514,1.3822,1.3535,0
-0.042933,0.12315,1.3753,-0.075156,-0.026945,1.3533,1.3815,1.3556,0
-0.04108,0.12303,1.3748,-0.080002,-0.02609,1.3543,1.3809,1.3569,0
-0.039171,0.12342,1.3745,-0.084831,-0.025788,1.3542,1.3806,1.3571,0
-0.037686,0.12404,1.3744,-0.089114,-0.026093,1.353,1.3805,1.3562,0
-0.037001,0.12467,1.3745,-0.092462,-0.026939,1.3508,1.3807,1.3542,0
-0.037323,0.12518,1.3747,-0.094695,-0.028151,1.3481,1.3809,1.3517,0
-0.038655,0.12549,1.3749,-0.095838,-0.029496,1.3453,1.3811,1.349,0
-0.040795,0.1256,1.375,-0.096083,-0.030738,1.3429,1.3813,1.3467,0
-0.04337,0.12555,1.3751,-0.095711,-0.03168,1.3415,1.3815,1.3453,0
-0.045911,0.12539,1.3751,-0.095021,-0.032192,1.3413,1.3815,1.345,0
-0.047956,0.12521,1.375,-0.094274,-0.03222,1.3424,1.3815,1.3461,0
-0.049154,0.12503,1.3749,-0.09365,-0.031786,1.3449,1.3815,1.3485,0
-0.049323,0.1249,1.3749,-0.093244,-0.030974,1.3484,1.3814,1.3519,0
-0.048454,0.12484,1.3749,-0.093074,-0.02992,1.3524,1.3814,1.3559,0
-0.046674,0.12482,1.3749,-0.093099,-0.028787,1.3565,1.3814,1.36,0
-0.044205,0.12485,1.3751,-0.093251,-0.027742,1.36,1.3815,1.3635,0
-0.041319,0.1249,1.3754,-0.093456,-0.026916,1.3625,1.3816,1.366,0
-0.038319,0.12496,1.3756,-0.093653,-0.026379,1.3638,1.3818,1.3673,0
-0.035501,0.125,1.3758,-0.093803,-0.026116,1.364,1.3819,1.3675,0
-0.033125,0.12504,1.3758,-0.093891,-0.026048,1.3632,1.3818,1.3667,0
-0.031386,0.12505,1.3755,-0.093922,-0.026067,1.362,1.3815,1.3655,0
-0.030395,0.12505,1.3749,-0.093915,-0.026097,1.3606,1.3809,1.3641,0
-0.030184,0.12504,1.3739,-0.093889,-0.026129,1.3594,1.3799,1.3629,0
-0.030717,0.12502,1.3728,-0.093863,-0.02622,1.3583,1.3788,1.3618,0
-0.031912,0.12501,1.3716,-0.093845,-0.026466,1.3575,1.3776,1.361,0
-0.033673,0.125,1.3705,-0.093835,-0.026941,1.3567,1.3766,1.3603,0
-0.0359,0.12499,1.3698,-0.093822,-0.027665,1.3562,1.376,1.3597,0
-0.038513,0.12498,1.3697,-0.093792,-0.02859,1.3558,1.376,1.3593,0
-0.041448,0.12499,1.3703,-0.093733,-0.029614,1.3557,1.3766,1.3593,0
-0.044641,0.12499,1.3714,-0.093639,-0.030612,1.356,1.3778,1.3596,0
-0.048004,0.12499,1.3728,-0.093522,-0.031461,1.3566,1.3793,1.3602,0
-0.051405,0.125,1.3742,-0.093407,-0.032062,1.3572,1.3808,1.3608,0
-0.054667,0.125,1.3753,-0.093333,-0.032344,1.3576,1.3821,1.3612,0
-0.057594,0.12501,1.3758,-0.093347,-0.032276,1.3573,1.3827,1.3609,0
-0.060009,0.12501,1.3755,-0.093489,-0.031869,1.3561,1.3825,1.3597,0
-0.0618,0.12501,1.3744,-0.093778,-0.031186,1.3541,1.3815,1.3577,0
-0.062939,0.12501,1.3726,-0.094195,-0.030354,1.3512,1.3797,1.3549,0
-0.063483,0.12501,1.3704,-0.094668,-0.029561,1.348,1.3776,1.3517,0
-0.063559,0.125,1.3683,-0.095074,-0.029057,1.3449,1.3754,1.3486,0
-0.063327,0.125,1.3665,-0.095251,-0.029126,1.3423,1.3737,1.346,0
-0.06295,0.12499,1.3655,-0.095021,-0.03004,1.3406,1.3727,1.3443,0
-0.062569,0.12498,1.3655,-0.094236,-0.032002,1.3402,1.3726,1.3439,0
-0.062286,0.12498,1.3663,-0.092829,-0.035087,1.3413,1.3734,1.345,0
-0.062156,0.12498,1.3677,-0.090858,-0.039193,1.344,1.3748,1.3476,0
-0.062189,0.12499,1.3694,-0.08853,-0.044036,1.348,1.3765,1.3516,0
-0.062354,0.125,1.3708,-0.086187,-0.049192,1.3529,1.3779,1.3566,0
-0.062592,0.12502,1.3718,-0.084254,-0.054174,1.3582,1.3789,1.3619,0
-0.062826,0.12504,1.3723,-0.083135,-0.058538,1.3632,1.3794,1.367,0
-0.062974,0.12506,1.3724,-0.083109,-0.061961,1.3671,1.3795,1.371,0
-0.062966,0.12507,1.3722,-0.084244,-0.064279,1.3695,1.3793,1.3736,0
-0.062758,0.12506,1.3719,-0.086372,-0.065482,1.3703,1.3791,1.3745,0
-0.062354,0.12503,1.3718,-0.089131,-0.065678,1.3696,1.3789,1.3741,0
-0.061817,0.12498,1.3718,-0.092037,-0.065049,1.3681,1.3789,1.3728,0
-0.061273,0.12491,1.3718,-0.09457,-0.063818,1.3668,1.3789,1.3715,0
-0.060913,0.12483,1.3718,-0.096242,-0.062237,1.3666,1.3788,1.3714,0
-0.060965,0.12477,1.3716,-0.09665,-0.060598,1.3689,1.3786,1.3737,0
-0.061658,0.12476,1.3712,-0.095513,-0.059236,1.3746,1.3783,1.3792,0
-0.063174,0.12481,1.3708,-0.092704,-0.058543,1.3845,1.3779,1.3888,0
-0.065597,0.12494,1.3704,-0.088273,-0.058937,1.3988,1.3777,1.4028,0
-0.068873,0.12516,1.3704,-0.082457,-0.060813,1.4172,1.3778,1.4209,0
-0.072803,0.12542,1.3707,-0.075655,-0.064456,1.4391,1.3783,1.4425,0
-0.07707,0.12568,1.3714,-0.068395,-0.069958,1.4628,1.3793,1.4661,0
-0.081296,0.12585,1.3724,-0.061265,-0.077145,1.4871,1.3805,1.4903,0
-0.085111,0.12584,1.3735,-0.054851,-0.085561,1.5102,1.3819,1.5136,0
-0.088221,0.12555,1.3745,-0.049678,-0.094524,1.5312,1.383,1.5349,0
-0.090456,0.12495,1.3753,-0.04615,-0.10324,1.5495,1.3839,1.5536,0
-0.0918,0.12404,1.3756,-0.044498,-0.11095,1.5651,1.3842,1.5697,0
-0.092397,0.12293,1.3755,-0.04474,-0.11711,1.5786,1.3841,1.5836,0
-0.092534,0.1218,1.3751,-0.04668,-0.12148,1.5907,1.3836,1.596,0
-0.092584,0.12086,1.3744,-0.049942,-0.1242,1.602,1.3828,1.6076,0
-0.092919,0.12034,1.3737,-0.054045,-0.1257,1.6131,1.3821,1.6189,0
-0.093818,0.12035,1.3732,-0.058502,-0.12665,1.6246,1.3816,1.6306,0
-0.095359,0.12082,1.3732,-0.062933,-0.12776,1.6368,1.3817,1.643,0
-0.097355,0.12141,1.3738,-0.067199,-0.12965,1.6503,1.3826,1.6568,0
-0.099325,0.12155,1.3751,-0.07153,-0.13268,1.6656,1.3841,1.6724,0
-0.10055,0.12054,1.377,-0.076608,-0.13695,1.6829,1.386,1.6902,0
-0.1002,0.1177,1.3792,-0.083565,-0.14229,1.7021,1.3878,1.7101,0
-0.097548,0.11269,1.3809,-0.093849,-0.14835,1.7227,1.3889,1.7317,0
-0.092247,0.1057,1.3816,-0.10897,-0.15472,1.7441,1.3888,1.7544,0
-0.08458,0.097694,1.3808,-0.13017,-0.1611,1.7654,1.3868,1.7775,0
-0.075654,0.090373,1.378,-0.15814,-0.16742,1.786,1.383,1.8008,0
-0.067439,0.086003,1.3737,-0.19284,-0.17386,1.8061,1.378,1.8247,0
-0.062578,0.086939,1.369,-0.23349,-0.18093,1.8267,1.3732,1.8505,0
-0.063959,0.09496,1.3662,-0.27873,-0.18948,1.8498,1.371,1.8803,0
-0.074097,0.11055,1.3688,-0.32693,-0.20058,1.8778,1.3752,1.9166,0
-0.094409,0.13227,1.3807,-0.37643,-0.21543,1.9135,1.3902,1.962,0
-0.12455,0.15652,1.4064,-0.42586,-0.23515,1.9594,1.4205,2.0189,0
-0.16198,0.17781,1.4496,-0.4742,-0.26063,2.0169,1.4695,2.0882,0
-0.20193,0.18962,1.5129,-0.5208,-0.29215,2.0861,1.5381,2.1699,0
-0.23797,0.18586,1.5963,-0.56515,-0.32909,2.1649,1.6246,2.2616,0
-0.26314,0.16261,1.6972,-0.60668,-0.36946,2.2487,1.7252,2.3582,0
-0.27154,0.11982,1.8106,-0.64446,-0.40935,2.3296,1.8348,2.4515,0
-0.26012,0.062429,1.9295,-0.67705,-0.44259,2.3972,1.948,2.53,0
-0.23025,0.00055851,2.0472,-0.70246,-0.46057,2.4383,2.0601,2.5789,0
-0.18861,-0.051507,2.1579,-0.71835,-0.45278,2.439,2.1667,2.5826,0
-0.14727,-0.077442,2.2589,-0.72248,-0.40805,2.3864,2.265,2.5265,0
-0.12262,-0.061859,2.3503,-0.71323,-0.31665,2.2714,2.3543,2.4017,0
-0.13304,0.0063696,2.4349,-0.69003,-0.17304,2.0917,2.4385,2.2094,0
-0.19537,0.13103,2.5164,-0.65359,0.021336,1.854,2.5273,1.966,0
-0.32063,0.30646,2.5969,-0.6059,0.256,1.5751,2.6345,1.707,0
-0.50971,0.51709,2.6745,-0.54995,0.51114,1.2811,2.7713,1.4849,0
-0.75044,0.7392,2.7405,-0.4895,0.75985,1.0036,2.936,1.3507,0
-1.0172,0.94497,2.7796,-0.42885,0.97293,0.77429,3.1071,1.3153,0
-1.274,1.1082,2.7716,-0.37261,1.1255,0.61736,3.2455,1.3367,0
-1.4815,1.2104,2.6975,-0.32548,1.2032,0.54391,3.307,1.3599,0
-1.6057,1.2454,2.5469,-0.29173,1.2063,0.54895,3.2582,1.3571,0
-1.6256,1.2213,2.3252,-0.27449,1.1494,0.61339,3.0889,1.3314,0
-1.5385,1.1578,2.0552,-0.27494,1.0567,0.70985,2.8163,1.3024,0
-1.3591,1.0808,1.7725,-0.29181,0.95621,0.81018,2.4814,1.2868,0
-1.1155,1.0152,1.5169,-0.32129,0.87205,0.89201,2.1391,1.2882,0
-0.84204,0.97857,1.321,-0.35768,0.82006,0.94272,1.847,1.2997,0
-0.57249,0.97729,1.2025,-0.39445,0.80517,0.96026,1.6519,1.3138,0
-0.33425,1.0061,1.1618,-0.42541,0.82208,0.95131,1.5728,1.3273,0
-0.14514,1.0508,1.1836,-0.4456,0.85822,0.92785,1.5894,1.3402,0
-0.012649,1.0933,1.2437,-0.45167,0.8979,0.90316,1.656,1.3513,0
0.064809,1.1165,1.3158,-0.44201,0.92643,0.88851,1.7269,1.3576,0
0.095344,1.1083,1.3778,-0.41669,0.93333,0.89105,1.7709,1.356,0
0.090645,1.0644,1.4167,-0.37733,0.91404,0.91314,1.7743,1.346,0
0.063287,0.98802,1.4291,-0.32705,0.87003,0.95286,1.7386,1.3311,0
0.024735,0.88884,1.4205,-0.27019,0.80766,1.0054,1.6759,1.3176,0
-0.015849,0.77999,1.4022,-0.21193,0.73622,1.0647,1.6046,1.3117,0
-0.052037,0.67504,1.3877,-0.15763,0.66557,1.1251,1.5441,1.3167,0
